Card_Number,Outlet_Number,Terminal_ID,Transaction_Date,Transaction_Currency,Transaction_Amount
4114627029123275,8194933638,9HK7SWUS,2024030419:47:18,504,779.68
2284979036904694,2904969536,T85VZJ67,2024031511:07:51,504,8962.11
30465190265065,1672799516,7HAB73FA,2024031202:42:03,504,6476.67
3547879136043438,1298548395,4X58CXN2,2024031201:56:43,504,7347.64
3594161902027917,7998354677,IQ6YHRBO,2024031103:57:20,504,1558.38
5237626294340316,7581095349,62WCER2I,,504,4528.76
4988754515024628,8893555795,A7DWZNA7,2024030915:23:33,504,4442.94
3522115069907722,1639822222,YL20ZJRS,2024031515:11:15,504,4074.81
4696629424131206,3193434192,RZLU4LVI,2024030300:07:26,504,7763.62
30350655056912,2930365176,1DKW0V96,2024030607:05:23,504,5669.83
4821906943412962,5412323967,G0R9PIY9,2024030310:32:24,504,8468.92
5422308741102574,5259990032,RELR62HE,2024030506:11:42,504,6790.59
379995595665682,2043628032,EBIK7M8V,2024031218:06:57,504,7791.36
4302093594394,2005342799,EK0FJ48H,2024030119:57:01,504,679.18
213118127737750,4966402479,XUUXJSK3,,504,4372.19
370117366970527,1461846676,OA4QBXKO,2024031609:27:47,504,8573.3
346672634167547,288908973,RC66X02E,2024031206:08:54,504,8580.4
2707361448090553,3120788715,10WEK366,2024030203:41:38,504,8391.4
213145948496340,1527463134,1QZEYSFQ,2024032000:24:00,504,9356.44
30381270997420,1151227510,EGHYGQDB,2024030600:46:00,504,6662.68
180057593371729,3672290263,80C3K6N1,2024031310:32:38,504,4467.43
213153359397221,9760855305,MB8FZYA7,2024031210:14:37,504,8976.6
3562008421784049,785375620,9DM20X9C,2024031917:11:12,504,1206.88
374740583299036,5453775845,5CM0RLW8,2024030714:41:04,504,500.34
4687063677097057,7211316907,MXCABMU6,2024032006:50:09,504,6018.9
4.95223659076425E+018,1016279023,T3QEFGF7,2024031723:44:33,504,1453.72
180036377149717,5647031050,88LY2R10,2024031905:54:09,504,4378.54
4649063391570055,5521647537,9PHTAA32,2024031913:02:09,504,7539.77
36224392069286,7672744919,6IXM16BK,2024031807:12:39,504,2510.98
6011018704358544,5261978428,YD7MVBTB,2024031203:43:28,504,7678.25
6011081871578872,4864535075,VCO04QWE,2024031607:52:31,504,7397.11
30481016656650,955864316,Q8BCD3EG,2024031223:30:44,504,7662.51
30331237480630,3248047300,WPASFJAO,2024031720:11:28,504,4051.87
4.84634424277564E+018,2990121494,D18QB3TR,2024030605:30:56,504,3056.35
4187150637362,7021807400,1F558NC8,2024032008:43:15,504,4004.93
38302569137520,7481375067,V0KIRU9Z,2024030105:03:41,504,3105.75
213139855267943,6103435790,GC0DVG1Y,2024030306:46:22,504,2884.04
4825098129834825,4601841259,OW3K656O,2024031808:54:30,504,1815.3
6011186373646091,4708192834,AUZGH2WS,2024030511:27:28,504,2101.45
4.77287332598207E+018,8307787225,OF8IMFN5,2024031219:57:33,504,9042.89
6011328906185433,3533635573,WJLABD3K,2024031418:13:47,504,389.67
4931862290279,5575437558,Y52S2GMZ,2024030107:12:43,504,2355.82
180005971123220,6608273885,544BPQWC,2024030604:30:42,504,4392.41
180081398467664,911031103,JPPTS16L,2024031316:05:39,504,7405.79
3559438646823469,2367052100,001UBCBA,2024030119:37:50,504,782.12
4965212540679152,5740921604,5MNNSFO4,2024030814:13:02,504,5924.23
213172329992945,4672976064,DW9U4ZAB,2024031320:11:29,504,846.32
3502797593216656,8636320330,CWMMAQOJ,2024031805:22:38,504,3395.27
4.31682303880198E+018,8072341339,CAEIULZW,2024031419:19:19,504,8047.76
3591203948982334,8496583612,2RZFCQQS,2024030616:50:05,504,3908.6
6011524745152788,1719971076,YW8GK32Y,2024030609:57:51,504,5685.87
349740464645986,5816998931,5MPQ56ZI,2024030709:47:15,504,8855.82
213164683087081,7537603457,K2OQ6PAM,2024030408:44:48,504,9033.75
4196690219398124,1805857762,DUI4IJGE,2024031412:24:45,504,7009.24
6011353233441770,5739683083,8GING2SI,2024030207:52:47,504,4257.44
5570945295893494,2084440754,NTE6APHZ,2024031309:30:12,504,3175.78
4608045926785,2850817385,H71EOQO7,2024030922:03:32,504,4749.58
4274150936606841,9229118716,IC9KTRVG,2024031318:43:50,504,4157.55
4696016216217650,8736568973,JSB656US,2024030507:51:50,504,8522.01
503862674978,2892220862,8LX93FA0,2024030506:45:44,504,5201.45
5517897286540830,5936523373,ZMNOJ9RJ,2024031315:13:33,504,9642.48
675926350884,2083401959,4L245YGQ,2024030803:56:32,504,472.86
6513498093792474,7265989956,DBA32MSQ,2024030113:32:38,504,319.75
3514341045097590,385493203,S9X5CBT1,2024030809:09:40,504,1325.52
4.22953668800198E+018,285054245,K12EG0NA,2024030216:52:37,504,7496.51
2380256060880782,2321141612,3HOVKBQ3,2024030601:08:57,504,9567.26
3557426108774520,1322723344,8CLYZ00F,2024030713:52:37,504,3998.68
4352849780655946,3177572373,EDLGYHXN,2024030517:29:52,504,8061.59
30369138151470,7951979272,985O856C,2024031817:25:05,504,6672.76
213135576645136,5893508603,9EECGQUJ,2024031409:11:11,504,6551.01
4.51925744023177E+018,147236054,G4GB4D23,2024031417:41:14,504,5974.49
4.06894515115408E+018,4148220121,XJVWFW95,2024030311:37:52,504,8980.8
5131527318156448,2011690759,1E6JXFGW,2024030300:31:07,504,7561.38
4.07653826414846E+018,6082701998,EGLMHX0B,2024030419:02:24,504,4345.29
180006706048682,237530898,U7V5J108,2024031602:44:53,504,7676.08
38617816508839,1907100514,5WFV3TCU,2024030314:03:05,504,5353.22
180017359228604,9919837699,C6L94Q79,2024030318:31:09,504,2053.81
6547770909825122,6977368854,BXTQMQ2O,2024030313:26:27,504,508.73
2714143173228942,4157864858,JQQDZTC9,2024031423:09:15,504,2108.29
4166435714972,6910591206,BZ28WZCG,2024030816:45:54,504,1799.04
4472279360777,1676285246,YAZPNJE2,2024030902:28:38,504,2449.3
501891322957,9523013279,N7QU4BBK,2024031919:27:18,504,5970.09
2227916232868828,885122888,5W9O995I,2024031213:12:00,504,492.27
3552848968019230,2514981905,RYJKXGHK,2024031316:45:29,504,2326.56
30512897970321,5434994499,LSQSQAXI,2024031501:52:38,504,5881.5
4.48578077057022E+018,171164865,D2NVWN7B,2024031121:32:03,504,1816.98
38326139747625,4648311073,YNALC675,2024030410:35:52,504,4188.67
501848092034,4349469874,4PI2FPN9,2024030205:02:46,504,9678.1
6011991291138638,6732540128,FNCF67ZJ,2024030114:14:59,504,7972.05
5437842487001098,9558760231,Y6VNMYL7,2024030305:29:43,504,7876.25
3507203658899697,2023521866,HGRHBQ2Z,2024031701:48:55,504,5857.78
4830275490031,6826049955,69AY4R4A,2024031507:13:20,504,7147.37
180092105731367,3649404464,38KQOGZH,2024031404:33:35,504,1400.51
2283976189168854,9984661019,G3ULYFN3,2024030219:20:34,504,9519.29
4192465134070734,2507450925,VHQXANDN,2024030823:27:45,504,4718.55
4.65804411776875E+018,874752793,7KKRJKG5,2024031913:17:17,504,6853.21
4681436825643,7125878155,L2CRI6AU,2024031009:50:53,504,3012.33
639091225735,328212186,HTPZ22ED,2024030918:21:56,504,538.13
343734435612171,6005841795,GAYHK6GN,2024030921:41:15,504,8805.56
3515155510261641,5948810071,G7QS25TM,2024030516:17:56,504,94.45
2622692014300337,9586128042,9P666501,2024031210:00:33,504,335.01
4154384315629,6863002798,893UOZIB,2024031717:24:31,504,8140.75
180083146917792,5569699876,FXPY741O,2024031719:20:48,504,6879.78
3551429594286864,4223606369,14NXSXKU,2024030423:52:45,504,9669.45
589801386949,888745832,BYI2LTJB,2024030800:12:29,504,3871.82
2278282617895540,9087638028,7EJOXJAZ,2024030301:18:06,504,5729.81
578418273517,444052885,LPD6LDMS,2024030815:33:13,504,777.01
4.50290260259365E+018,7969722647,AO5ECTNS,2024030507:38:50,504,1690.31
4905488087457136,7892169926,32YIR2J8,2024030703:08:05,504,3952.57
4023624413710,4504200162,K4NKI7AN,2024030422:43:31,504,5387.69
36319287355129,9779125892,KJXT2JHJ,2024031102:58:32,504,4023.38
2617402385692149,6752704124,O33AO62Q,2024031611:33:10,504,4765.39
4.04349239705143E+018,7318013151,RRUVFIN6,2024030909:39:40,504,9187.05
4154312693675,7056884557,6R04956R,2024031116:08:08,504,9001.51
180049119011632,7624117512,ZVFZIJJP,2024031314:16:33,504,107.3
639052392946,965091035,WRTQWIYW,2024031810:30:43,504,8526.66
4.04175357823919E+018,3043695754,F0MS3G5N,2024031414:07:42,504,2744.06
4.67077078752695E+018,8251215121,LUMMONGD,2024031003:10:47,504,9443.28
4607710519437233,667168064,QXRVBJ8N,2024031012:30:37,504,7490.49
3525583182537063,9041642000,N5XTEEEA,2024030104:08:59,504,8003.44
4.70040871170375E+018,2999514527,GWLRLY0I,2024030802:30:24,504,1807.78
3557058780860960,4065187661,27IWRJUD,2024031707:57:29,504,687.37
4.2546797891841E+018,7684182527,WWOHII6F,2024030211:01:44,504,3146.81
6506399632764918,2194319693,EHBG85PK,2024030410:38:44,504,585.09
370570458037151,7673638765,HU5WIOUJ,2024030415:17:55,504,703.51
2479152458402119,1134468129,4B807WBF,2024031521:15:04,504,4760.62
4450623231468048,8474505065,DOLIK06W,2024031722:37:26,504,3100.42
4323312012315,9741067967,HPZYYPG8,2024031010:42:28,504,1542.94
213131347242907,5029874930,0ZVBQQCF,2024031412:32:19,504,2865.33
4677622869486,4121455599,UQN9AYX5,2024031807:04:50,504,746.23
376083604089112,872949584,GA4VIUY0,2024031408:42:47,504,5723.05
4080095632118399,6864806161,VLQYK1WW,2024030522:20:42,504,8192.1
2379589088473419,3945167063,AM9IW2O6,2024031601:57:37,504,4781.75
3598951168361190,1328401880,CWNTU5B4,2024031220:25:04,504,3447.85
4893418857573,6634351971,QDY1ZLDA,2024031109:12:18,504,5986.26
180067289008493,4401619313,3I4HE8E4,2024030815:05:41,504,3181.36
4593101912420826,8828387706,132US49B,2024031709:39:30,504,6412.02
2226091096206209,7444249307,Z7MAHTKM,2024031409:57:06,504,7668.27
4195559867002612,2747182668,ABD6LGZ2,2024031208:29:08,504,9216.38
375902125533038,5321186334,5IDTB532,2024031711:17:47,504,5361.71
213125399042306,8273352756,VMUDAGZJ,2024030519:38:23,504,6440.82
374104837286788,950758803,OCBW32FM,2024030609:55:16,504,6730.67
213188535422238,328294506,TZKY8FHY,2024030112:11:38,504,263.68
3512081537472073,9926399323,YJWVSO6V,2024030101:46:10,504,9075.67
346904136232952,8948489067,YJXWAT0X,2024030517:35:43,504,1847.97
213191223867177,932097675,3CQFM0MJ,2024031516:49:41,504,6222.32
3536039573870396,7476536243,30ADSQEM,2024031512:14:23,504,3589.58
4891493674970,4773924021,HDX07XGY,2024031521:45:49,504,244.41
3539972260200583,3077425747,JBU7MUP5,2024031408:31:27,504,4506.48
4325915881384,9733020484,MBH9TI4T,2024031510:42:46,504,9446.96
2720235752196094,2394445100,EGZMVWZI,2024031316:42:42,504,395.08
581985837581,3354887983,HNWJ0JJX,2024030904:29:30,504,6161.31
4591572867830536,2683706717,4SSHATDD,2024030701:29:52,504,2512.6
349021707997900,5612861864,72VMA69U,2024030421:16:39,504,5532.41
3562909668723170,9930870801,02S8BI9U,2024031401:40:05,504,4103.53
4704934172566086,164556571,4I7PPZ30,2024030409:17:34,504,34.13
180022439472636,9204194477,ORWDAEXP,2024031422:15:51,504,3057.59
4321490336340,1698640237,14T5TMMS,2024030400:27:50,504,8240.53
3582918562000714,1716379349,F9X6OUK4,2024030408:36:57,504,7248.11
4783406872917988,8443700137,U79LTJTK,2024030411:28:52,504,5391.15
30091143385832,1886957310,EPTGJX2Y,2024030308:55:25,504,2438.02
4345007286093951,9421547228,HV0BGQSG,2024031814:56:10,504,47.44
30293245492157,35830224,G178L7B2,2024031207:25:43,504,1962.97
3514830380856313,6786916255,Z706GD30,2024031723:22:26,504,2835.25
30126931510850,304769140,K4SBU3W9,2024030912:55:45,504,5137.01
379656261109146,1197531146,WZW71VSI,2024031122:38:44,504,6209.28
573786741872,6457130612,R2GLPP54,2024030812:45:49,504,8351.58
372391792296561,6700983982,O0GQOOI6,2024030111:32:49,504,6730.94
60428641595,7951313370,Y32G804A,2024031700:17:30,504,8286.63
180076292531490,3738951899,E5B8QEAW,2024030508:15:38,504,9067.5
4360796400145,2638394028,530GG669,2024031520:05:48,504,6920.77
180020397180563,2153404583,RYR3K95F,2024031804:48:13,504,3374.63
4936609386784481,1328067850,B6OO80CZ,2024031404:18:00,504,1856.65
5583729845662087,5179967722,V1HLLKS3,2024031703:41:27,504,1164.11
374320560486276,5094073549,BAI7Q9TC,2024030209:15:11,504,3275.81
4.86909901775143E+018,784094751,M59EBEDI,2024031107:46:06,504,6244.65
2278477970771672,9953624848,T9NFZE99,2024031914:31:09,504,518.47
2221421723091507,921141374,BTRIIW8B,2024031508:02:42,504,8227.82
6562877913367668,68824672,OFA3INWO,2024030406:28:15,504,9461.13
3501524315182458,8399871030,Y4NBL2DY,2024030814:03:30,504,3186.03
3568492176019963,1580839279,5W47LSJY,2024030516:45:44,504,1055.21
342362980230255,9374332215,AEM9ICAJ,2024030121:43:58,504,4903.38
567472749009,5462905510,2AUMJPGR,2024031518:41:09,504,7066.92
4994163872403551,3160348044,YL0P5ERU,2024032011:33:37,504,2737.06
3504083072609796,3458037352,0K5CI7R9,2024030507:56:36,504,6896.27
4033526235210,9114090811,PMI04DD1,2024030102:26:38,504,9083.75
341923871074655,2078335546,218YDZIT,2024031109:27:03,504,5016.52
4984835443012,9842371437,NMVQK5OT,2024031202:33:25,504,281.75
568403960731,901891742,NQ0UDLK5,2024030517:48:23,504,8174.07
213160635299469,8335987576,6U8UFPUF,2024030815:08:48,504,3550.18
4313207030744010,6717766888,KL6IO2NO,2024030817:25:16,504,1830.14
3594498455999641,4468498285,B2IK5VTG,2024030717:02:40,504,9725.72
4157181527122973,2273192723,10N6RMS9,2024031210:54:53,504,9519.5
4013906491583,1303620447,LNHGEYTU,2024030918:34:37,504,9383.14
3595977990814851,7776366251,OU4YRNRM,2024030501:05:10,504,2665.53
3561053386806883,3670943378,FKFT4KZE,2024030810:15:53,504,8892.02
3518718997151028,4186724849,PXS3O665,2024030702:51:28,504,73.23
4171826124700611,1029933025,R7FZZON0,2024032005:52:28,504,7028.66
3590748976740047,7436724737,G0TYNIKP,2024031518:33:51,504,195.05
4857759300767321,2609708676,TSNYAE22,2024031811:12:01,504,4937.56
503864517985,5545382500,ETTK5NXV,2024030707:14:14,504,4503.02
4033799652158510,815402716,5GNVGNBZ,2024031905:26:05,504,3723.41
2471413458059079,7409976997,XW6O15FP,2024030105:34:55,504,8513.84
180011381211522,3969646837,QVN9HBZ3,2024030809:09:57,504,5418.64
561496919151,3915103652,YVFB7CQO,2024030910:17:28,504,25.95
180005723881547,7183591235,I8MC0NFD,2024031506:29:47,504,3075.24
4979562334414636,85637610,5H7SNL6J,2024031423:29:19,504,4673.91
4.14394369139022E+018,9780196367,T2RR0WE1,2024031714:20:32,504,7818.32
4065027716595,802223539,KPC7B75E,2024031115:40:36,504,1294.87
3533181217398641,4196948595,FCRBXU7D,2024031101:13:26,504,3258.41
6553594714429933,6610622920,0TNGXIMI,2024031213:49:40,504,6123.2
6011889501052070,9178061028,9TIS4DWJ,2024030617:02:25,504,4283.12
3540566478537203,709382097,TC4CH8IH,2024031300:42:02,504,9359.04
676266189056,4940664193,FMK8SK8K,2024030300:54:53,504,3336.16
3568112833216097,2642153864,VKE06C4I,2024031403:47:34,504,6695.61
30483764177319,7659002729,9YGEXP8H,2024031719:48:19,504,3543.1
3543517446874100,3099063135,JQVKH0PW,2024030414:40:44,504,5008.31
378787847695562,1520021254,WBH5AIXV,2024031210:48:00,504,5134.93
3576524301889058,2833595709,57HSLC1C,2024030901:54:42,504,2833.23
3581449321603664,48860849,BCOVIWIG,2024030806:58:47,504,5218.78
6535883718008683,1058002513,DPUN306J,2024031323:21:35,504,9613.58
4.34132161032071E+018,7078888907,9F9EZ4QW,2024031103:46:27,504,5256.4
4806854843911379,471448000,45RSV8MA,2024030308:05:52,504,7081.45
374437062763596,4391712770,VEEWEY7P,2024030309:33:36,504,5841.36
4110759628970,3296621287,XDPDPKKL,2024030820:36:25,504,4003.66
6579506721129660,9651053602,Z0G3LZHQ,2024030114:51:13,504,1661.6
4929330346766737,4049358329,Y7R6VU9T,2024032004:34:34,504,5847.75
213145539648655,7003237223,M6F54U43,2024030709:36:53,504,910.41
213134514373042,4126297319,B5EZD71X,2024031220:48:21,504,7194.87
3543744850516908,5733093810,8669LFZ5,2024030112:43:00,504,9917.27
4993975011398223,8377468811,8MBR8W6I,2024031122:19:57,504,1925.15
3539563349049883,991694793,WLI8LFLD,2024031821:20:47,504,8061.1
180019542155579,2847227984,V1NXDARG,2024031711:15:18,504,9215.2
4011935405251,8330010592,L6K7QQMP,2024031119:10:54,504,766.84
501847503429,3496016271,MXA0UHPC,2024031423:46:48,504,4431.2
4358825757502430,7788885295,BRW0QUS7,2024031022:13:16,504,5815.56
5158607797206902,1074316982,GQ2B8EY0,2024031904:46:14,504,3515.86
4567405603928191,9134901855,QBGVDZ4I,2024030104:30:20,504,3936.19
4.17494436396752E+018,2038981339,N8VO1WG7,2024030303:53:42,504,5113.72
4128947224610387,4979587928,TJMV0IO8,2024031500:12:13,504,3497.83
3577291437857545,8337210606,OINPEJOW,2024031013:18:45,504,2033.15
4.45200952948274E+018,1757233243,0FGC6NQ2,2024031314:05:07,504,7069.01
501862555726,6692935042,Z03Y5UKO,2024030823:16:44,504,1460.33
60467212357,117736908,7P6IM51H,2024031903:00:35,504,3106.78
4002818734918688,7492436412,O6JMKCZN,2024030220:26:19,504,9252.58
213169730753205,6652918930,ACK7KQ8U,2024031705:39:05,504,8854.36
2493713962590210,7476425611,B7LRA1H5,2024031304:12:35,504,7578.93
213110780718854,2333248997,1NNBDFEJ,2024030319:04:06,504,8487.68
564067673330,2381103769,PM8PAT8J,2024030621:45:25,504,2280.13
4922187750692156,1916588645,I4LPLY1H,2024030111:55:59,504,4399.87
4568404435005566,3742176787,D9NE9FZ9,2024031600:55:28,504,7099.43
3586486740125379,5472707461,Q9P5S7RO,2024031209:27:19,504,3266.68
180073775190951,1077975443,CUR1OKQK,2024030500:52:10,504,6082.52
213182218236767,9995771782,CG8JFZHD,2024031101:35:32,504,3539.42
213185351284619,3339985080,8UPDIR3K,2024031003:03:00,504,9437.53
346082575155149,6141925181,IU7OJEV4,2024030901:34:01,504,771.24
4443367660335712,8608587961,AS94N95I,2024031910:06:34,504,653.55
4261153667002227,9376986025,SI9BLNCV,2024030408:31:02,504,3517.12
4558200123837670,6821511381,OT0QCYUM,2024030906:57:54,504,9401.33
30092684559454,909980328,QCSAJWGV,2024030107:54:43,504,1954.03
3560177502889183,8121722135,2H1IV1IT,2024031215:42:07,504,2239.15
345676382769439,6662954755,YLZN1LL9,2024031614:54:24,504,3671.96
4094139745000013,4162128700,L0UCSX8Y,2024030503:41:23,504,2074.48
4722273270229588,3889298645,VO2N5E28,2024031319:48:56,504,4084.2
4144408240085302,4783594546,00RIH9R3,2024031105:25:29,504,8634.94
5521420748264321,4287140126,NSVIBBWQ,2024031615:03:23,504,8617.03
2701013804434380,6728498697,Q48CUCYE,2024031621:34:10,504,1575.19
30263414341568,7292168714,HLD7JB9M,2024030916:08:14,504,3387.53
676251284292,4295723566,1OSMQB75,2024031221:04:45,504,5434.32
574446670170,3848385332,3HCP1HQO,2024031412:25:44,504,2618.8
2284675200544973,2235175700,1EURZSME,2024030203:01:43,504,4226.01
4203058465694201,1997792807,KA3A8435,2024031111:01:33,504,465.11
30582178670619,4079913657,CTIW0U2C,2024031215:59:18,504,6707.62
4454356240889351,9538023600,X0AVD9P7,2024030513:42:30,504,7005.86
3556650451927689,2821705176,23K70E68,2024031111:12:29,504,7161.22
2707362100821145,6968675967,8YL95UP3,2024031516:33:31,504,857.09
2712465957264492,1512580919,DFIE4VBI,2024030511:14:08,504,4531.54
3560925476157973,584345392,42R264YP,2024030603:47:35,504,5223.37
213110899868301,8340855781,8RLRTJDB,2024031210:50:15,504,5760.27
6011563694835605,235073926,DMPKAVLM,2024031307:41:51,504,7741.79
6011341405222763,7213482269,XN88GBGB,2024032007:04:09,504,4876.11
2261178719540811,4397131402,J5R8BHH6,2024030508:03:36,504,2255.1
4923336360899870,2153433583,J5HS54VK,2024030209:25:36,504,771.88
180076014553640,5756850286,P4AU9W9N,2024031413:11:19,504,8285.86
6537932811172488,3357241665,YOP0X696,2024030620:39:13,504,6490.26
3537587985087859,1814961879,NJIXZ8CW,2024031500:20:53,504,7028.84
4.31693143910276E+018,4866019551,TPN9O0QL,2024030813:37:55,504,7533.42
4012419518163,8235076123,WK28UP0Z,2024030216:49:59,504,1029.65
4.83984731581703E+018,5632686929,TN1JW399,2024030419:34:58,504,3195.31
4.1245417986163E+018,5050174999,204QZK7Q,2024030409:12:55,504,9514.84
4.65927282993245E+018,3864512183,MIZK1PCY,2024031022:35:21,504,5975.69
4705854884319,8713952052,90L2JT5U,2024030801:04:49,504,81.18
2292255518335578,2183110238,PYREM28L,2024031816:23:44,504,3903.84
2238776571467385,786687979,LQFEO2H7,2024031303:26:47,504,6899.72
4.54664053273561E+018,7992049697,U3OKE3HA,2024031400:04:16,504,4985.41
5312941194344997,6203924664,9SCY0SD4,2024030516:13:45,504,1400.5
3565242545632597,1802221913,6CR51LA0,2024030701:09:34,504,9456.69
2305922361097879,6961412988,YAPF2660,2024031915:42:43,504,2836.77
4403751351356,4228824228,4DIV38CI,2024031913:58:55,504,8943.78
3595010098941820,1090995828,BJ5I9BFT,2024031221:29:15,504,3120.46
6552028281405043,8360637965,XNZ3A2TK,2024031020:11:27,504,3579.63
30524675984077,6616764812,BB0R49G5,2024031505:23:08,504,3105.45
3504007039729272,6139206121,PVSLL5GB,2024032001:09:12,504,2909.28
2237632832270210,3762832637,VNTYPWEL,2024031009:09:37,504,6883.69
6589759453044742,1737113534,L1NVD80E,2024030215:30:13,504,7838.97
30422706392487,9112732503,BA35B460,2024031011:08:38,504,7821.35
30271655201151,1440217301,8EGAHL25,2024031516:18:41,504,8218.35
3522627889345586,6950463593,90PSKGLS,2024030602:48:39,504,145.7
4.21889499008434E+018,1354981834,HEJ4OJ97,2024031613:30:23,504,4863.15
3590088315491527,6877158343,6ZVSXPX2,2024030800:55:11,504,1811.06
676355567733,6777753037,64IOZMZV,2024030123:59:52,504,8674.31
3566514851724849,9536135971,JVXAM1WE,2024030409:11:54,504,6670.43
4.0679647149733E+018,1532951193,PKB7QLUG,2024031502:34:28,504,7814.64
213165555789779,2928767449,PJ4E7TMQ,2024030819:42:21,504,4348.62
6573597948407696,1986517622,4GH05VCF,2024031804:52:54,504,9205.83
4891425191373128,662118513,CEYESEHF,2024031719:37:35,504,1290.88
